"","gene_symbol","log2FC_RNA","padj_RNA","log2FC_protein","padj_protein","r_all","r_Control","r_LRTI","delta_r_LRTI_Control"
"2211","NUDT16",0.0991431689428825,0.849428841962763,0.197806088516196,0.998419475690512,-0.0269206234756839,0.0733942775856674,-0.0688056776037921,-0.142199955189459
"2212","SAR1B",-0.0197079107181188,0.961729538988344,0.0508817024234079,0.998419475690512,-0.0456017768512034,-0.146198270707541,-0.00400353469311951,0.142194736014421
"2213","TSNARE1",0.062741793424465,0.93310590747319,0.0172595036012211,0.998419475690512,0.068781025263872,0.167565612846328,0.0256586049128277,-0.141907007933501
"2214","HSD17B7",0.107624154356659,0.850126950232687,0.0133478760148769,0.998419475690512,-0.251697864480403,-0.160643351928613,-0.302418399845904,-0.141775047917291
"2215","PELO",0.060620906841139,0.911776684034494,-0.0137065066295585,0.998419475690512,-0.150937925255291,-0.240459237064768,-0.0987989618937217,0.141660275171046
"2216","PKP2",-1.14674352643487,0.0313303251419065,-0.121887638488365,0.998419475690512,0.0929125987921409,0.00452590295340439,0.146029471337845,0.14150356838444
"2217","TPP1",-0.0814454885862099,0.866398163335226,-0.149151554801411,0.998419475690512,-0.0534918994723631,0.0389353402599151,-0.102384683619294,-0.141320023879209
"2218","UNC5A",0.520334605177386,0.224010579609336,-0.0847497931720669,0.998419475690512,-0.109445291459378,-0.180232209782052,-0.0389238801953075,0.141308329586745
"2219","UBE2N",0.0600829262405919,0.890582211675261,-0.0091719009756042,0.998419475690512,0.0616370399205798,0.156361411035236,0.0151225402297685,-0.141238870805467
"2220","NDUFB11",0.350153968150247,0.479470414844874,0.101951761795349,0.998419475690512,0.139293136325128,0.0602218780576127,0.201282962923455,0.141061084865842
"2221","DSC2",0.348311998097481,0.415299432655602,-0.0370075421554051,0.998419475690512,0.17924293018828,0.0841881482693162,0.225244563801296,0.14105641553198
"2222","INPP5D",0.600907868450449,0.0237011552840779,-0.0581307341052259,0.998419475690512,-0.127357119207267,-0.0124345665330194,-0.153478467009327,-0.141043900476308
"2223","CYBRD1",-0.357656557512144,0.539433567721707,0.00938556166076421,0.998419475690512,-0.272363211062479,-0.193519374681011,-0.334556033622533,-0.141036658941521
"2224","SLC26A11",-0.201576707387045,0.671644568692402,0.0175888134943127,0.998419475690512,0.202408722292782,0.103243524391621,0.244227202309788,0.140983677918167
"2225","CTNNA1",-0.247427631681296,0.287232357510207,-0.105567956747873,0.998419475690512,0.0475788314218266,-0.0229925614869319,0.117860962245613,0.140853523732545
"2226","SIRT6",0.347332454682892,0.385633464239127,0.104130296306488,0.715823515377884,0.0176399869948725,0.0914572179352989,-0.0493662939008442,-0.140823511836143
"2227","CLSTN3",0.313477256342103,0.404446968426982,0.348691711741658,0.791573009435334,0.0771111719565914,0.130684608023575,-0.0101100867723008,-0.140794694795876
"2228","NUDT1",-0.232527938767079,0.814402556712384,0.0558510868881438,0.998419475690512,0.0800095542276831,0.176326678922589,0.0356256736591426,-0.140701005263446
"2229","MLEC",-0.674235990612329,0.0712749345409782,0.267018936457162,0.998419475690512,-0.0620457657026766,0.0861424356363093,-0.0544204639493932,-0.140562899585703
"2230","TADA2A",-0.216408280914846,0.755916076413573,0.0128650146276659,0.998419475690512,-0.000822545360913574,-0.0965097331967928,0.043898432164906,0.140408165361699
"2231","NDRG1",0.0296564449368599,0.956506932519683,0.0294816907472696,0.998419475690512,-0.181368989670267,-0.278806694402352,-0.138546088692956,0.140260605709396
"2232","RPS3",-0.131720881656068,0.761651257014385,0.251052163857985,0.998419475690512,-0.171376433511954,-0.270787614611222,-0.130633647368218,0.140153967243004
"2233","EIF4EBP1",-0.377061901524284,0.587893058319172,0.0915224623873866,0.998419475690512,-0.273021057400319,-0.359288975980581,-0.21944088011265,0.139848095867931
"2234","NEO1",-1.00196271512357,0.0774127212302872,0.012338134355199,0.998419475690512,0.0358062307186766,-0.0718565095173053,0.0678645412862711,0.139721050803576
"2235","DR1",0.388479672994893,0.0844701297186037,0.0878543058530804,0.998419475690512,0.0829292135027627,-0.0268126253957478,0.112652177595994,0.139464802991741
"2236","BMERB1",-1.50711238796559,0.00496231183280117,0.0273931564260976,0.998419475690512,-0.100510756970851,-0.160423416687474,-0.0210461663045605,0.139377250382913
"2237","EGLN1",0.11421703339433,0.784056127786874,0.0965747798679089,0.998419475690512,0.126625477285958,0.0154920820733628,0.154772355944185,0.139280273870822
"2238","SAR1A",-0.0920438102125861,0.762868775835592,-0.106853733820644,0.998419475690512,0.0357895049663891,0.12316343009723,-0.0161033530957114,-0.139266783192942
"2239","GABARAPL1",-0.130991832154805,0.707072548039102,0.298548974474031,0.998419475690512,0.0169572477849946,0.137141741147295,-0.00211909300407041,-0.139260834151365
"2240","PRSS8",-0.215337541557682,0.74937451863322,-0.0556473797200908,0.998419475690512,0.14209630679603,0.230408677074853,0.0912217091432174,-0.139186967931635
"2241","PAWR",-0.301653131223431,0.656110467848682,-0.0323503597154408,0.998419475690512,0.286324412993974,0.344139639344961,0.204975808926269,-0.139163830418691
"2242","CAMKK1",-0.111595576628903,0.825020969489209,-0.0516106061905916,0.998419475690512,0.299195570637048,0.192313390114126,0.331358932543293,0.139045542429168
"2243","RAB21",0.147316442393949,0.728197734250814,0.455183696445468,0.874049872264311,0.0833461451685177,-0.0118412112217557,0.127191682706316,0.139032893928072
"2244","C4B",-0.240038293792581,0.745464710272653,0.521970416007939,0.84343372662366,-0.20477480356004,-0.259775987871261,-0.120757018555539,0.139018969315722
"2245","DAPP1",1.38303829309157,0.000125558058430597,0.260869567964435,0.998419475690512,0.242377806195153,0.0915523238232852,0.230471214274504,0.138918890451219
"2246","IL6",0.724493545283642,0.532068816199045,0.56856229065703,0.707433531662766,0.367880866391226,0.242424417549906,0.381322066227105,0.138897648677198
"2247","TXNDC15",0.0176405941324428,0.977652325142357,-0.00419542400363584,0.998419475690512,0.0855075940028667,0.171265124863415,0.0324129654913908,-0.138852159372024
"2248","RAB43",0.607737506977213,0.00952135711567383,0.140157190655062,0.998419475690512,0.0142132528862461,-0.139861884839198,-0.00106487798457131,0.138797006854627
"2249","CDYL2",0.550855032999178,0.209938125059353,0.00297702007366602,0.998419475690512,-0.0867729717249448,0.0255511217513824,-0.113178256558481,-0.138729378309863
"2250","SENP1",-0.0157970793153351,0.976235197391995,0.257373265058822,0.960940008943582,0.143243789973952,0.248450699290595,0.109730429718554,-0.13872026957204
"2251","ARHGEF7",-0.165966669144277,0.540988933873221,0.0717586208005477,0.998419475690512,0.0393911353951089,-0.0594285570942028,0.0792430049437072,0.13867156203791
"2252","DNAJC19",-0.496875888813435,0.338020326853893,0.196690920618228,0.77932860200008,-0.167557964325469,-0.0333393646755907,-0.171974057654725,-0.138634692979135
"2253","PSMB1",0.159638976612094,0.724115777860023,0.297554851673101,0.994739550495444,0.104827841735507,0.179672124552443,0.0410560719156351,-0.138616052636808
"2254","FOXJ2",-0.0235048717623023,0.950143820927288,-0.0439166137829796,0.998419475690512,-0.0691183359206996,0.0211398880827594,-0.117389513298954,-0.138529401381714
"2255","GMFB",0.231109184097126,0.518802165653983,0.322070732103529,0.844219646885179,-0.122242881976182,-0.0676926837385502,-0.206122751934836,-0.138430068196286
"2256","SPARC",-1.75234056646904,0.00748516383689959,0.128285479401306,0.849533369989811,-0.217024079428554,-0.197608568423556,-0.0592353838046086,0.138373184618947
