"gene_symbol","log2FC_RNA","padj_RNA","log2FC_protein","padj_protein","sig_class"
"HERPUD2",0.621776459858124,0.00471229937869891,-0.0165146390160092,0.998419475690512,"RNA only"
"CSF2RB",0.868321664679592,0.00472244643043455,-0.0621992116894352,0.998419475690512,"RNA only"
"BMERB1",-1.51267349753046,0.00472244643043455,0.0273931564260976,0.998419475690512,"RNA only"
"DYNLT1",0.855604168356532,0.00481613402698866,-0.00746124171097138,0.998419475690512,"RNA only"
"MOB3B",-0.913042179314026,0.00532219860268022,0.106885501419179,0.906608492274627,"RNA only"
"IMPDH2",-0.837908165063634,0.00547017004134734,0.140760960874523,0.998419475690512,"RNA only"
"BIRC3",0.851227205652939,0.00559696343428142,-0.0375177153371645,0.998419475690512,"RNA only"
"GTF2B",0.867941670521374,0.00596509287782507,-0.0430343849054809,0.998419475690512,"RNA only"
"IL21R",1.21940769284318,0.00610173109408822,-0.178546528074353,0.998419475690512,"RNA only"
"SUSD3",1.20678006590367,0.00619500952924233,-0.00148855471130428,0.998419475690512,"RNA only"
"PLAAT4",1.63856527385896,0.00620115134921618,-0.001667861449907,0.998419475690512,"RNA only"
"PEBP1",-0.693019575926992,0.00698076982319158,0.0411195488154896,0.998419475690512,"RNA only"
"CD300LF",1.01310462691158,0.00760476564297603,-0.00701297417661685,0.998419475690512,"RNA only"
"SPARC",-1.74870424901645,0.00764791401327183,0.128285479401306,0.849533369989811,"RNA only"
"IVD",-1.12139946636846,0.00765972210645843,0.0992572898162789,0.998419475690512,"RNA only"
"FBP1",-1.28736741089915,0.00766207410978295,0.125849913708891,0.998419475690512,"RNA only"
"HNRNPLL",0.793553374550207,0.00780480830148948,-0.175369498211756,0.998419475690512,"RNA only"
"TNFRSF6B",2.15151672854551,0.00786184121175672,-0.0221977581379304,0.998419475690512,"RNA only"
"NCOA7",1.07511458624121,0.00786184121175672,-0.0562981067462372,0.998419475690512,"RNA only"
"GGT5",1.3861191823621,0.00815484749374049,-0.0570362296203661,0.998419475690512,"RNA only"
"SAT1",0.813495799089839,0.00860475896912841,-0.0263330145788507,0.998419475690512,"RNA only"
"CD3E",1.72343608188343,0.00870322702351572,-0.0343997083680419,0.998419475690512,"RNA only"
"EMG1",-0.800639081108421,0.00880714813785779,0.332365648386219,0.791573009435334,"RNA only"
"SUMF2",-0.716568635510348,0.00919806842473879,0.28106599885257,0.942156010382713,"RNA only"
"HMOX2",-0.619963036500346,0.0100692563314706,0.30049488786182,0.305671390633778,"RNA only"
"PPARG",-0.893361887435683,0.0107783820988887,0.0934138713327964,0.893070525488337,"RNA only"
"CSNK2A1",-0.483979652491129,0.0108329163876888,0.353350582047468,0.593517962616812,"RNA only"
"PROM1",-1.56265826564271,0.0114303373369592,0.0094616665416656,0.998419475690512,"RNA only"
"CAPNS2",1.23722512601695,0.0122295313196448,-0.294397538976763,0.906608492274627,"RNA only"
"BATF",0.919457770245902,0.0124729626861133,-0.0574133021089471,0.998419475690512,"RNA only"
"IARS1",-0.662735940468291,0.0124729626861133,0.0301208580161802,0.998419475690512,"RNA only"
"TIMM10",1.50802289705047,0.012545548267713,-0.0286536962682072,0.998419475690512,"RNA only"
"EYA2",-1.35607099260063,0.0127238050590135,0.170130404308185,0.960940008943582,"RNA only"
"EMC1",-0.588368742105167,0.0155041938894445,0.141726788957519,0.979608889726842,"RNA only"
"TGM2",-0.943291890117212,0.0155041938894445,0.0389713292495271,0.998419475690512,"RNA only"
"FAM20A",0.793935501003867,0.0159891628989112,-0.0315564148231692,0.998419475690512,"RNA only"
"PIP",-1.60006231588981,0.0161308291582639,0.199062585731984,0.998419475690512,"RNA only"
"ACAT1",-0.712686576465926,0.017719213765432,0.0189651828446521,0.998419475690512,"RNA only"
"GALNT14",1.42524611799443,0.0179223946681369,-0.0893292377082064,0.96484128332814,"RNA only"
"GMFG",0.613373760275109,0.0199262822437207,-0.00939662982738466,0.998419475690512,"RNA only"
"CCL3L3",1.32107637624889,0.0210599257720451,-0.00167911394521556,0.998419475690512,"RNA only"
"CHMP2B",0.660953188628716,0.0212925490255228,-0.118424051932958,0.998419475690512,"RNA only"
"FGFRL1",-0.830041716626933,0.0225997118505175,0.0275524201436652,0.998419475690512,"RNA only"
"INPP5D",0.602689200924324,0.0231808918329847,-0.0581307341052259,0.998419475690512,"RNA only"
"P4HA2",-0.905972937203483,0.0243656907750444,0.0107094288301636,0.998419475690512,"RNA only"
"LTA4H",-0.686341788359803,0.0257860046862787,0.0282079481206718,0.998419475690512,"RNA only"
"BTN3A3",1.06915513310208,0.0261969088889105,-0.117626532906177,0.853216168095328,"RNA only"
"UBE2J1",0.605743308736271,0.0262470348356965,-0.00356655273807739,0.998419475690512,"RNA only"
"CCL3",1.12212626189729,0.0264988240433893,-0.0919219330456191,0.998419475690512,"RNA only"
"IL32",1.10692078667477,0.0270406026831438,-0.0278397741262957,0.998419475690512,"RNA only"
"ATRN",-0.530338949244794,0.0281358077009491,0.140250076300915,0.998419475690512,"RNA only"
"DBNDD2",-0.889953881330475,0.0293854642301149,0.0945012485089929,0.998419475690512,"RNA only"
"PRKRA",-0.724214859835055,0.0300745804688985,0.0578929049845498,0.998419475690512,"RNA only"
