"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH","REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH",90,0.637039343777671,2.4541269422287,1e-10,4.86e-09,4.86e-09,2367,"tags=54%, list=17%, signal=45%","H2AC19/H3C12/H2BC13/H2AC4/H4C14/CAPNS2/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/MLKL/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/RIPK1/H2BC8/H2BC9/H2BC15/H4C8/EZH2/H3C3/H3C2/LMNB1/H2AC6/H2BC4/H4C2/H3-3B/H2BC5/H3C7/H3C4/H2BC21/RIPK3/H3-3A/H4C3/SOD2",NA
"REACTOME_MEIOSIS","REACTOME_MEIOSIS",94,0.630171451860817,2.44864823780178,1e-10,4.86e-09,4.86e-09,1871,"tags=49%, list=13%, signal=43%","H2AC19/H3C12/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/NBN/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/H2BC8/BRCA2/H2BC9/H2BC15/H4C8/SYNE1/H3C3/H3C2/LMNB1/H2AC6/REC8/H2BC4/H4C2/H3-3B/H2BC5/BLM/H3C7/H3C4/ATR",NA
"REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION","REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION",68,0.680320604571453,2.43977737627072,1.79896878888553e-10,8.0953595499849e-09,8.0953595499849e-09,1845,"tags=57%, list=13%, signal=50%","H2AC19/H3C12/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/H2BC8/H2BC9/H2BC15/H4C8/H3C3/H3C2/H2AC6/H2BC4/H4C2/H3-3B/H2BC5/H3C7/H3C4",0.826657301178302
"REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE","REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE",67,0.658057118717944,2.41990453267313,9.19816794688858e-10,2.94099317249201e-08,2.94099317249201e-08,2297,"tags=57%, list=16%, signal=48%","H2AC19/CCNA1/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H2AC14/H2BC3/H4C6/NBN/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H2BC8/H1-3/H1-0/H2BC9/H2BC15/H4C8/H1-5/LMNB1/H2AC6/H2BC4/H4C2/H2BC5/H1-2/H2BC21/CDKN1B/CDKN1A/H4C3",0.801215574617779
"REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION","REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION",78,0.641538029548026,2.41863336986053,8.52811862807333e-10,2.80044976570516e-08,2.80044976570516e-08,1845,"tags=53%, list=13%, signal=46%","H2AC19/H3C12/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/TAF1C/H2BC8/H2BC9/H2BC15/H4C8/H3C3/H3C2/DEK/H2AC6/H2BC4/H4C2/H3-3B/H2BC5/H3C7/H3C4",0.801215574617779
"REACTOME_RHO_GTPASES_ACTIVATE_PKNS","REACTOME_RHO_GTPASES_ACTIVATE_PKNS",80,0.631094885920564,2.40850310599968,2.26764319415502e-09,6.55996781166273e-08,6.55996781166273e-08,1845,"tags=50%, list=13%, signal=44%","H2AC19/H3C12/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/H2BC8/H2BC9/H2BC15/H4C8/H3C3/H3C2/RHOC/H2AC6/H2BC4/H4C2/H3-3B/H2BC5/H3C7/H3C4",0.774939030136436
"REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE","REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE",48,0.700158859402173,2.40487790641714,2.63231291100736e-08,6.03445318278103e-07,6.03445318278103e-07,1742,"tags=58%, list=12%, signal=51%","H2AC19/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H2AC14/H2BC3/H4C6/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H2BC8/H2BC9/H2BC15/H4C8/NEIL3/H2AC6/H2BC4/H4C2/H2BC5",0.73376198835648
"REACTOME_REPRODUCTION","REACTOME_REPRODUCTION",108,0.602116078478815,2.40180288472328,2.1592675618709e-10,9.04658650921774e-09,9.04658650921774e-09,1871,"tags=46%, list=13%, signal=40%","H2AC19/H3C12/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/NBN/H3C13/PRDM1/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/ZP3/H2BC8/BRCA2/H2BC9/H2BC15/H4C8/SYNE1/H3C3/H3C2/CATSPERB/LMNB1/H2AC6/NANOS3/REC8/H2BC4/H4C2/H3-3B/H2BC5/BLM/H3C7/H3C4/ATR",0.826657301178302
"REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE","REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE",76,0.639187499134247,2.39270277482398,1.44468703418374e-09,4.50075576034167e-08,4.50075576034167e-08,1845,"tags=53%, list=13%, signal=46%","H2AC19/H3C12/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/TAF1C/H2BC8/H2BC9/H2BC15/H4C8/H3C3/H3C2/H2AC6/H2BC4/H4C2/H3-3B/H2BC5/H3C7/H3C4",0.788186810800237
"REACTOME_REPLACEMENT_OF_PROTAMINES_BY_NUCLEOSOMES_IN_THE_MALE_PRONUCLEUS","REACTOME_REPLACEMENT_OF_PROTAMINES_BY_NUCLEOSOMES_IN_THE_MALE_PRONUCLEUS",33,0.764675933840877,2.38726075270991,1.17946641239091e-08,2.80990527657834e-07,2.80990527657834e-07,2297,"tags=76%, list=16%, signal=63%","H2BC13/H4C14/H2BC17/H4C9/H2BC3/H4C6/H2BC7/H4C13/H2BC6/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H2BC8/H2BC9/H2BC15/H4C8/H2BC4/H4C2/H3-3B/H2BC5/H2BC21/H3-3A/H4C3",0.747739663149885
"REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP","REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP",102,0.615328029385356,2.38113511835207,1e-10,4.86e-09,4.86e-09,2297,"tags=50%, list=16%, signal=42%","H2AC19/CCNA1/H3C12/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/UBE2S/H2BC14/H2BC11/H4C1/H3C14/H3C15/IL6/UBE2D1/H2BC8/H2BC9/H2BC15/H4C8/H3C3/H3C2/RELA/H2AC6/H2BC4/H4C2/CDKN2D/H3-3B/H2BC5/H3C7/H3C4/UBE2E1/H2BC21/CDKN1B/CDKN1A/H3-3A/H4C3",NA
"REACTOME_GENE_SILENCING_BY_RNA","REACTOME_GENE_SILENCING_BY_RNA",86,0.625332371650069,2.3772145558402,3.52452521297447e-10,1.38138649476257e-08,1.38138649476257e-08,1845,"tags=48%, list=13%, signal=42%","H2AC19/H3C12/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/PIWIL4/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/H2BC8/H2BC9/H2BC15/H4C8/H3C3/H3C2/H2AC6/H2BC4/H4C2/H3-3B/TDRD9/H2BC5/H3C7/H3C4",0.814035837847908
"REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION","REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION",52,0.676089604084215,2.37034021419037,2.49554794020006e-08,5.83094374489052e-07,5.83094374489052e-07,1742,"tags=54%, list=12%, signal=47%","H2AC19/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H2AC14/H2BC3/H4C6/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H2BC8/H2BC9/H2BC15/H4C8/NEIL3/H2AC6/H2BC4/H4C2/H2BC5",0.73376198835648
