"sample_name","name","tax_id","tax_level","genus_tax_id","common_name","category","nt_count","nt_rpm","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nr_count","nr_rpm","nr_contigs","nr_contig_r","nr_percent_identity","expected_bg_count","p_val","p_adj"
"P45","Corynebacterium striatum",43770,1,1716,"","bacteria",77,0.825813249,3,47,98.8719,216.325,2,0.021449695,NA,NA,100,16.8554321777166,0.0119855917335648,0.12285231526904
"P45","Pseudomonas citronellolis",53408,1,286,"","bacteria",46,0.49334298,NA,NA,99.1507,135.109,36,0.386094506,NA,NA,96.6201,878.089289012439,0.943574463901127,0.994449271158609
"P45","Pseudomonas fluorescens",294,1,286,"","bacteria",11,0.117973321,NA,NA,99.7273,93.6364,0,0,NA,NA,0,173.700168382584,0.928534974946765,0.994449271158609
"P45","Pseudomonas putida",303,1,286,"","bacteria",8,0.085798779,NA,NA,96.9875,100.125,2,0.021449695,NA,NA,100,143.957346040565,0.93497324184029,0.994449271158609
"P45","Pseudomonas stutzeri",316,1,286,"","bacteria",6,0.064349084,NA,NA,98.2103,174.667,6,0.064349084,NA,NA,98.2917,110.535120222041,0.934277868188351,0.994449271158609
"P45","Pseudomonas aeruginosa",287,1,286,"","bacteria",10,0.107248474,NA,NA,99.07,109.4,14,0.150147863,NA,NA,97.8839,980.211767870653,0.987296183499781,0.994449271158609
"P45","Acidovorax carolinensis",553814,1,12916,"","bacteria",18,0.193047253,NA,NA,97.3174,75.6667,0,0,NA,NA,0,126.799454557409,0.85459114902403,0.994449271158609
"P45","Acidovorax avenae",80867,1,12916,"","bacteria",28,0.300295727,NA,NA,97.0593,79.2143,1,0.010724847,NA,NA,93.9,163.308372365979,0.830654770531629,0.994449271158609
"P45","Stenotrophomonas maltophilia",40324,1,40323,"","bacteria",114,1.222632603,NA,NA,98.9043,125.816,215,2.305842189,1,122,70.5025,2084.64546176138,0.941920369474254,0.994449271158609
"P45","Bosea sp. RAC05",1842539,1,85413,"","bacteria",6,0.064349084,NA,NA,90.4833,106.667,0,0,NA,NA,0,40.6048180741022,0.836587104279632,0.994449271158609
"P45","Gordonia bronchialis",2054,1,2053,"","bacteria",14,0.150147863,1,12,95.7143,361.071,2,0.021449695,NA,NA,100,9.41087578753368,0.220226025393956,0.994449271158609
"P45","Rhodococcus sp. YL-1",1045808,1,1827,"","bacteria",9,0.096523627,NA,NA,99.7667,103.778,0,0,NA,NA,0,211.224460487847,0.949883545832467,0.994449271158609
"P45","Rhodococcus sp. 008",1723645,1,1827,"","bacteria",11,0.117973321,NA,NA,99.5545,148.182,0,0,NA,NA,0,254.069402461232,0.949964364340686,0.994449271158609
"P45","Rhodococcus sp. BH4",1807790,1,1827,"","bacteria",12,0.128698169,NA,NA,99.6583,149.25,3,0.032174542,NA,NA,100,158.788321124438,0.916302866851485,0.994449271158609
"P45","Rhodococcus erythropolis",1833,1,1827,"","bacteria",22,0.235946643,NA,NA,99.1727,91.3636,15,0.160872711,NA,NA,98.66,237.312139493681,0.902025210053856,0.994449271158609
"P45","Caulobacter segnis",88688,1,75,"","bacteria",6,0.064349084,NA,NA,96.9333,114.667,0,0,NA,NA,0,76.0505442467559,0.907087831098825,0.994449271158609
"P45","Caulobacter vibrioides",155892,1,75,"","bacteria",14,0.150147863,NA,NA,96.0033,73.5,4,0.04289939,NA,NA,100,167.911626062058,0.909228512392511,0.994449271158609
"P45","Mannheimia haemolytica",75985,1,75984,"","bacteria",124,1.329881076,1,124,98.333,180,45,0.482618133,1,22,90.3361,0.794430622918045,5.23161807264051e-44,9.19270032763976e-43
"P45","Triticum aestivum",4565,1,4564,"bread wheat","eukaryota",14,0.150147863,1,6,95.5143,145.714,2,0.021449695,NA,NA,48.684,378.358090252345,0.957567049515362,0.994449271158609
"P45","Comamonas testosteroni",285,1,283,"","bacteria",7,0.075073932,NA,NA,95.6571,79,0,0,NA,NA,0,193.230619164575,0.955878716776541,0.994449271158609
"P45","Phycicoccus dokdonensis",443156,1,367298,"","bacteria",5,0.053624237,NA,NA,90.5,117.2,5,0.053624237,NA,NA,90.94,36.1907287610945,0.842421097115972,0.994449271158609
"P45","Aggregatibacter aphrophilus",732,1,416916,"","bacteria",22,0.235946643,1,22,100,90,1,0.010724847,NA,NA,100,3.20200858515098,0.00213749224027862,0.0239010495958428
"P45","Cutibacterium granulosum",33011,1,1912216,"","bacteria",6,0.064349084,1,6,92.857,406,0,0,NA,NA,0,19.3491612786103,0.69582411839887,0.994449271158609
"P45","Cutibacterium acnes",1747,1,1912216,"","bacteria",19,0.2037721,NA,NA,99.7645,154.842,22,0.235946643,1,5,86.5094,947.848144465951,0.976707809916431,0.994449271158609
"P45","Salmonella enterica",28901,1,590,"","bacteria",227,2.434540358,1,222,99.9245,1318.52,51,0.546967217,NA,NA,87.4588,58.6205291964715,0.0223734281949175,0.211687051382681
"P45","Enterobacter cloacae",550,1,547,"","bacteria",12,0.128698169,NA,NA,97.0477,142,2,0.021449695,NA,NA,93.9,147.829097891923,0.910585201914181,0.994449271158609
"P45","Cupriavidus sp. USMAA2-4",876364,1,106589,"","bacteria",6,0.064349084,NA,NA,95.0833,83.3333,0,0,NA,NA,0,32.1579972621089,0.79996225937302,0.994449271158609
"P45","Cupriavidus taiwanensis",164546,1,106589,"","bacteria",5,0.053624237,NA,NA,92.56,98.6,14,0.150147863,NA,NA,84.5286,70.2379769940641,0.913360818183375,0.994449271158609
"P45","Akkermansia muciniphila",239935,1,239934,"","bacteria",6,0.064349084,NA,NA,96.0667,77,0,0,NA,NA,0,28.5152120055579,0.778459400643199,0.994449271158609
