"sample_name","name","tax_id","tax_level","genus_tax_id","common_name","category","nt_count","nt_rpm","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nr_count","nr_rpm","nr_contigs","nr_contig_r","nr_percent_identity"
"P254","Kocuria palustris",71999,1,57493,"","bacteria",2,0.030348641,NA,NA,99.2,121,0,0,NA,NA,0
"P254","Kocuria rhizophila",72000,1,57493,"","bacteria",2,0.030348641,NA,NA,99,150,0,0,NA,NA,0
"P254","Anaerococcus prevotii",33034,1,165779,"","bacteria",2,0.030348641,NA,NA,96,275,0,0,NA,NA,0
"P254","Mucilaginibacter mallensis",652787,1,423349,"","bacteria",1,0.01517432,NA,NA,89.2,148,0,0,NA,NA,0
"P254","Microbacterium sp. BH-3-3-3",1906742,1,33882,"","bacteria",4,0.060697281,NA,NA,100,150,0,0,NA,NA,0
"P254","Comamonas serinivorans",1082851,1,283,"","bacteria",4,0.060697281,NA,NA,91.41,190.5,0,0,NA,NA,0
"P254","Comamonas testosteroni",285,1,283,"","bacteria",11,0.166917523,1,7,92.7203,232.182,0,0,NA,NA,0
"P254","Hyphomonas neptunium",81032,1,85,"","bacteria",2,0.030348641,NA,NA,100,104,0,0,NA,NA,0
"P254","Paucibacter sp. KCTC 42545",1768242,1,318147,"","bacteria",2,0.030348641,NA,NA,99.153,236,0,0,NA,NA,0
"P254","Rhodoferax ferrireducens",192843,1,28065,"","bacteria",2,0.030348641,NA,NA,100,150,0,0,NA,NA,0
"P254","Pedobacter cryoconitis",188932,1,84567,"","bacteria",2,0.030348641,NA,NA,92.7,82,0,0,NA,NA,0
"P254","Aquaspirillum sp. LM1",1938604,1,187,"","bacteria",2,0.030348641,NA,NA,97.4,132.5,0,0,NA,NA,0
"P254","Staphylococcus epidermidis",1282,1,1279,"","bacteria",2,0.030348641,NA,NA,100,150,0,0,NA,NA,0
"P254","Sorangium cellulosum",56,1,39643,"","bacteria",2,0.030348641,NA,NA,92.2,77,0,0,NA,NA,0
"P254","Nitrospirillum amazonense",28077,1,1543705,"","bacteria",2,0.030348641,NA,NA,97.75,136,0,0,NA,NA,0
"P254","Triticum aestivum",4565,1,4564,"bread wheat","eukaryota",4,0.060697281,NA,NA,92.3,76.5,0,0,NA,NA,0
"P254","Modestobacter marinus",477641,1,88138,"","bacteria",2,0.030348641,NA,NA,98.25,84,0,0,NA,NA,0
"P254","Leptothrix cholodnii",34029,1,88,"","bacteria",3,0.045522961,NA,NA,92.3667,143.333,0,0,NA,NA,0
"P254","Rhodotorula glutinis",5535,1,5533,"","eukaryota",6,0.091045922,1,4,92.6947,246.667,0,0,NA,NA,0
"P254","Plantibacter flavus",150123,1,190323,"","bacteria",4,0.060697281,NA,NA,99.325,143.5,0,0,NA,NA,0
"P254","Hammondia hammondi",99158,1,99157,"","eukaryota",3,0.045522961,NA,NA,100,150,0,0,NA,NA,0
"P254","Saccharomyces cerevisiae",4932,1,4930,"baker's yeast","eukaryota",8,0.121394563,NA,NA,99.675,132.5,2,0.030348641,NA,NA,97.403
"P254","Gardnerella vaginalis",2702,1,2701,"","bacteria",2,0.030348641,NA,NA,93.95,109,3,0.045522961,NA,NA,64.179
"P254","Achromobacter xylosoxidans",85698,1,222,"","bacteria",2,0.030348641,NA,NA,97.95,146.5,2,0.030348641,NA,NA,100
"P254","Chelatococcus daeguensis",444444,1,28209,"","bacteria",4,0.060697281,NA,NA,95.25,138.5,0,0,NA,NA,0
"P254","Blastococcus saxobsidens",138336,1,38501,"","bacteria",4,0.060697281,NA,NA,98.35,113.5,0,0,NA,NA,0
"P254","Micrococcus luteus",1270,1,1269,"","bacteria",13,0.197266164,1,13,97.735,309,0,0,NA,NA,0
"P254","Cutibacterium acnes",1747,1,1912216,"","bacteria",40,0.606972813,2,22,98.05,394.15,64,0.9711565,4,48,85.4395
"P254","Escherichia coli",562,1,561,"","bacteria",130,1.972661641,1,92,99.8198,887.277,314,4.764736579,3,308,97.7175
"P254","Mycobacteroides abscessus",36809,1,670516,"","bacteria",3,0.045522961,NA,NA,93.8333,141.333,4,0.060697281,NA,NA,99.45
"P254","Methylorubrum extorquens",408,1,2282523,"","bacteria",9,0.136568883,1,8,94.6111,219.333,0,0,NA,NA,0
