"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","padj","log2FoldChange","negLog10P","sig","direction"
"C1orf210",-0.0030022433848049,9.56678909504656,-0.0325384667939793,0.974105351180988,0.998419475690512,-6.03014434407953,0.998419475690512,-0.0030022433848049,0.0006869560045745,FALSE,"NotSignificant"
"DMRTB1",0.00298455188233951,10.2117075404644,0.0320596249755948,0.974486288617048,0.998419475690512,-6.03015907513793,0.998419475690512,0.00298455188233951,0.0006869560045745,FALSE,"NotSignificant"
"CDY1",-0.00280278748521025,10.9087001275461,-0.0320529833379938,0.974491572341817,0.998419475690512,-6.03015927792528,0.998419475690512,-0.00280278748521025,0.0006869560045745,FALSE,"NotSignificant"
"RIC3",0.00231880517614395,12.4930630187049,0.0320439059642457,0.974498793807303,0.998419475690512,-6.03015955501439,0.998419475690512,0.00231880517614395,0.0006869560045745,FALSE,"NotSignificant"
"ACVR2B",0.00237211800126893,11.1450803606286,0.0318134501282365,0.974682132661233,0.998419475690512,-6.03016656344762,0.998419475690512,0.00237211800126893,0.0006869560045745,FALSE,"NotSignificant"
"AGAP3",0.00228259761996602,10.987871738448,0.0317225770881629,0.974754426968958,0.998419475690512,-6.03016931309787,0.998419475690512,0.00228259761996602,0.0006869560045745,FALSE,"NotSignificant"
"PPTC7",0.00572732947846894,12.7268372379086,0.0315620411206363,0.974882142332296,0.998419475690512,-6.03017415139896,0.998419475690512,0.00572732947846894,0.0006869560045745,FALSE,"NotSignificant"
"DUSP13B",0.00277910939041688,12.1399844226354,0.0313067735007419,0.975085223380747,0.998419475690512,-6.03018179421553,0.998419475690512,0.00277910939041688,0.0006869560045745,FALSE,"NotSignificant"
"CYB5R2",-0.0115934246536995,14.887405780098,-0.0311410397510827,0.975217075622016,0.998419475690512,-6.03018672312324,0.998419475690512,-0.0115934246536995,0.0006869560045745,FALSE,"NotSignificant"
"CASS4",0.00285932602533126,11.6787662265882,0.0311040978221663,0.97524646548181,0.998419475690512,-6.03018781820745,0.998419475690512,0.00285932602533126,0.0006869560045745,FALSE,"NotSignificant"
"LRP1",-0.00215949284866062,10.8345397675212,-0.0304927667755086,0.975732826536672,0.998419475690512,-6.03020575140239,0.998419475690512,-0.00215949284866062,0.0006869560045745,FALSE,"NotSignificant"
"TXNDC15",-0.00419542400363584,6.83095567407617,-0.0301700983528169,0.975989537886045,0.998419475690512,-6.03021507325265,0.998419475690512,-0.00419542400363584,0.0006869560045745,FALSE,"NotSignificant"
"CNDP1",0.00482106403879185,11.4613249164631,0.0292984444446131,0.976683028419782,0.998419475690512,-6.03023975945446,0.998419475690512,0.00482106403879185,0.0006869560045745,FALSE,"NotSignificant"
"SRGN",0.00322790247922882,11.9926480833446,0.0292315298973957,0.976736266585438,0.998419475690512,-6.03024162463938,0.998419475690512,0.00322790247922882,0.0006869560045745,FALSE,"NotSignificant"
"CRTC3",0.00170492960116448,10.8332623771052,0.0292107375932684,0.976752809259804,0.998419475690512,-6.03024220333835,0.998419475690512,0.00170492960116448,0.0006869560045745,FALSE,"NotSignificant"
"RIC8A",-0.00546583797820258,13.1256902234014,-0.0289207633483962,0.976983518246823,0.998419475690512,-6.03025023109195,0.998419475690512,-0.00546583797820258,0.0006869560045745,FALSE,"NotSignificant"
"MINPP1",-0.0065219008265758,14.791856295565,-0.0288666972516996,0.977026534471356,0.998419475690512,-6.03025171901935,0.998419475690512,-0.0065219008265758,0.0006869560045745,FALSE,"NotSignificant"
"LRRN1",0.00241119457463216,11.8202347958112,0.0286957401851712,0.977162552273476,0.998419475690512,-6.03025640552751,0.998419475690512,0.00241119457463216,0.0006869560045745,FALSE,"NotSignificant"
"NPIPB3",-0.00220085437154437,12.1861908140218,-0.0285407212948911,0.977285889838631,0.998419475690512,-6.03026063105164,0.998419475690512,-0.00220085437154437,0.0006869560045745,FALSE,"NotSignificant"
"DNAJB12",0.00379745517425534,9.75382810794923,0.0282338903289913,0.977530015154993,0.998419475690512,-6.03026892720179,0.998419475690512,0.00379745517425534,0.0006869560045745,FALSE,"NotSignificant"
"SBSN",0.00148516606348265,10.5242286771513,0.0280006324317004,0.977715604626203,0.998419475690512,-6.03027517407487,0.998419475690512,0.00148516606348265,0.0006869560045745,FALSE,"NotSignificant"
"GP6",-0.00472558535161402,11.3652500263084,-0.0274969106955115,0.97811639029095,0.998419475690512,-6.03028848744028,0.998419475690512,-0.00472558535161402,0.0006869560045745,FALSE,"NotSignificant"
"DEFB135",0.00320720466715822,10.31150242014,0.0269188237613553,0.978576351447438,0.998419475690512,-6.03030346845339,0.998419475690512,0.00320720466715822,0.0006869560045745,FALSE,"NotSignificant"
"EDEM2",-0.00284694716975649,10.9387276498745,-0.0268733986171124,0.97861249476577,0.998419475690512,-6.03030463214905,0.998419475690512,-0.00284694716975649,0.0006869560045745,FALSE,"NotSignificant"
"RAC1",0.0103945747361616,16.3532592473505,0.0266595232320177,0.978782669090854,0.998419475690512,-6.03031008477108,0.998419475690512,0.0103945747361616,0.0006869560045745,FALSE,"NotSignificant"
"LYSMD3",0.00217493209849587,9.22196629810137,0.0261011128331944,0.979226984345487,0.998419475690512,-6.03032411572673,0.998419475690512,0.00217493209849587,0.0006869560045745,FALSE,"NotSignificant"
"CCDC51",-0.00237212846098846,11.0619759422338,-0.025962979358477,0.979336895221883,0.998419475690512,-6.03032754073046,0.998419475690512,-0.00237212846098846,0.0006869560045745,FALSE,"NotSignificant"
"GADD45GIP1",-0.00192801720613267,10.0634227298726,-0.0257626552292951,0.979496291039897,0.998419475690512,-6.03033247545531,0.998419475690512,-0.00192801720613267,0.0006869560045745,FALSE,"NotSignificant"
"RWDD1",-0.00675370553933431,13.761658386791,-0.0256950187205233,0.979550108891616,0.998419475690512,-6.03033413296173,0.998419475690512,-0.00675370553933431,0.0006869560045745,FALSE,"NotSignificant"
"DPP6",0.00243638505825094,9.63782310338082,0.0254608360233127,0.979736446997155,0.998419475690512,-6.03033983820367,0.998419475690512,0.00243638505825094,0.0006869560045745,FALSE,"NotSignificant"
"STK24",-0.0069527264671845,13.1498082583696,-0.0253976479657903,0.979786725639329,0.998419475690512,-6.03034136866502,0.998419475690512,-0.0069527264671845,0.0006869560045745,FALSE,"NotSignificant"
"TNS4",-0.00217568410076139,11.0079285321039,-0.0253933627217047,0.979790135404544,0.998419475690512,-6.03034147231909,0.998419475690512,-0.00217568410076139,0.0006869560045745,FALSE,"NotSignificant"
"LAIR1",-0.00237684070326839,11.1052893455895,-0.0251550684234098,0.979979746570681,0.998419475690512,-6.0303472087969,0.998419475690512,-0.00237684070326839,0.0006869560045745,FALSE,"NotSignificant"
"RRAS2",-0.00209116786178223,11.1368752010773,-0.0248073492872221,0.980256429316817,0.998419475690512,-6.03035548242679,0.998419475690512,-0.00209116786178223,0.0006869560045745,FALSE,"NotSignificant"
"ANKRD1",-0.00183764774589168,11.3158824735811,-0.0247183300627925,0.980327262975635,0.998419475690512,-6.0303575820354,0.998419475690512,-0.00183764774589168,0.0006869560045745,FALSE,"NotSignificant"
"FASLG",0.00115480595975978,10.3087292341101,0.0247132592255401,0.980331297906071,0.998419475690512,-6.03035770140902,0.998419475690512,0.00115480595975978,0.0006869560045745,FALSE,"NotSignificant"
"MRPL38",-0.00362132694637365,10.1734752255234,-0.0245966080090986,0.980424118920415,0.998419475690512,-6.03036044075716,0.998419475690512,-0.00362132694637365,0.0006869560045745,FALSE,"NotSignificant"
"TNFSF15",-0.00209978206827877,11.3706814591277,-0.0244942360718077,0.980505577932995,0.998419475690512,-6.0303628341036,0.998419475690512,-0.00209978206827877,0.0006869560045745,FALSE,"NotSignificant"
"NME8",0.00159454463959831,9.29782538027371,0.0244188831366196,0.980565537618748,0.998419475690512,-6.03036458939691,0.998419475690512,0.00159454463959831,0.0006869560045745,FALSE,"NotSignificant"
"ARL9",0.00204408277936479,10.5154459964879,0.0242839358730585,0.980672917861545,0.998419475690512,-6.03036771938273,0.998419475690512,0.00204408277936479,0.0006869560045745,FALSE,"NotSignificant"
"RAB7B",-0.00174346727703889,10.5439096544007,-0.0242573375792591,0.980694082699094,0.998419475690512,-6.03036833426102,0.998419475690512,-0.00174346727703889,0.0006869560045745,FALSE,"NotSignificant"
"CENPW",-0.00216919822970666,11.0687516489318,-0.0239255373312419,0.980958104485337,0.998419475690512,-6.0303759479242,0.998419475690512,-0.00216919822970666,0.0006869560045745,FALSE,"NotSignificant"
"PSG7",-0.00273028797675501,9.05085829711157,-0.0238808573413743,0.980993657637153,0.998419475690512,-6.030376965164,0.998419475690512,-0.00273028797675501,0.0006869560045745,FALSE,"NotSignificant"
"NLRP4",0.00220288195298317,11.6860232557324,0.0236759228648322,0.981156730378565,0.998419475690512,-6.03038160659374,0.998419475690512,0.00220288195298317,0.0006869560045745,FALSE,"NotSignificant"
"CHST4",-0.00250053928244784,10.3981162620184,-0.0236482199144461,0.981178774539868,0.998419475690512,-6.03038223095094,0.998419475690512,-0.00250053928244784,0.0006869560045745,FALSE,"NotSignificant"
"LRFN1",-0.00236918218963267,11.93044658517,-0.0232282476050721,0.981512962285486,0.998419475690512,-6.03039160656918,0.998419475690512,-0.00236918218963267,0.0006869560045745,FALSE,"NotSignificant"
"C11orf87",0.00311104834134585,12.5239511298714,0.0228202198627565,0.981837648443358,0.998419475690512,-6.03040055463852,0.998419475690512,0.00311104834134585,0.0006869560045745,FALSE,"NotSignificant"
"NTF3",-0.00259824246649776,8.66363829576526,-0.0218231505082338,0.982631074427937,0.998419475690512,-6.03042175322733,0.998419475690512,-0.00259824246649776,0.0006869560045745,FALSE,"NotSignificant"
"BTD",-0.00686577123198987,15.2255684031788,-0.0218103099998855,0.982641292481467,0.998419475690512,-6.03042202005237,0.998419475690512,-0.00686577123198987,0.0006869560045745,FALSE,"NotSignificant"
"CTBP1",-0.00365033143658624,11.4420698554642,-0.0212635432169959,0.983076394133783,0.998419475690512,-6.0304332361197,0.998419475690512,-0.00365033143658624,0.0006869560045745,FALSE,"NotSignificant"
